Zeff,E(MeV/n),LET (keV/um),Alpha (Gy-1)
0.9,0.06,78.094,2.2336
0.9,0.07,80.763,2.1678
0.9,0.08,81.629,2.1432
0.9,0.09,81.325,2.1454
0.9,0.1,80.351,2.156
0.9,0.115,78.092,2.1871
0.9,0.125,76.343,2.2097
0.9,0.135,74.519,2.2312
0.9,0.15,71.714,2.2597
0.9,0.175,67.185,2.2855
0.9,0.2,63.069,2.2833
0.9,0.225,59.349,2.2568
0.9,0.25,56.044,2.2111
0.9,0.275,53.079,2.1509
0.9,0.3,50.419,2.0803
0.9,0.325,48.037,2.0033
0.9,0.35,45.923,1.9253
0.9,0.375,43.987,1.8491
0.9,0.4,42.219,1.7727
0.9,0.425,40.621,1.6932
0.9,0.45,39.161,1.6222
0.9,0.475,37.784,1.5536
0.9,0.525,35.369,1.4278
0.9,0.55,34.247,1.3629
0.9,0.56,33.866,1.3403
0.9,0.575,33.281,1.3092
0.9,0.58,33.08,1.303
0.9,0.6,32.339,1.2626
0.9,0.625,31.423,1.2129
0.9,0.65,30.642,1.1713
0.9,0.675,29.869,1.1249
0.9,0.7,29.124,1.0966
0.9,0.725,28.431,1.0464
0.9,0.75,27.742,1.0256
0.9,0.775,27.167,0.9888
0.9,0.8,26.552,0.9575
0.9,0.825,26.022,0.9395
0.9,0.85,25.463,0.9081
0.9,0.875,25,0.8872
0.9,0.9,24.488,0.8612
0.9,0.925,24.021,0.8416
0.9,0.975,23.123,0.8018
1,1.125,25.836,0.8514
1,1.25,23.972,0.7768
1,1.312,23.125,0.7411
1,1.375,22.359,0.7124
1,1.438,21.653,0.6917
1,1.5,21.008,0.6666
1,1.562,20.369,0.6452
1,1.625,19.803,0.6259
1,1.688,19.255,0.6119
1,1.75,18.749,0.5971
1,1.8,18.373,0.5849
1,1.875,17.845,0.5703
1,1.9,17.65,0.5662
1,2,17.008,0.5473
1,2.125,16.246,0.5256
1,2.25,15.604,0.5073
1,2.375,14.971,0.4928
1,2.5,14.448,0.4833
1,2.75,13.389,0.4576
1,3,12.557,0.44
1,3.25,11.787,0.4301
1,3.875,10.31,0.4018
1,4.25,9.604,0.3886
1,4.625,9.005,0.3766
1,4.8,8.722,0.3743
1,5.5,7.848,0.3605
1,6,7.31,0.3569
1,7,6.477,0.3391
1,7.5,6.122,0.3386
1,8,5.795,0.3329
1,9,5.274,0.3294
1,9.5,5.077,0.3275
1,12,4.206,0.3203
1,13,3.926,0.3195
1,14,3.707,0.3115
1,14.5,3.597,0.3158
1,15,3.503,0.3126
1,16,3.322,0.3153
1,17,3.16,0.31
1,18.5,2.951,0.3075
1,20,2.758,0.3072
1,22.5,2.515,0.3022
1,25,2.29,0.2993
1,35,1.77,0.2907
1,37.5,1.67,0.2935
1,40,1.582,0.2947
1,42.5,1.51,0.2866
1,45,1.419,0.2922
1,50,1.329,0.2955
1,60,1.123,0.2904
1,70,1.037,0.2804
1,72.5,0.994,0.2857
1,75,0.943,0.2901
1,80,0.864,0.2904
1,85,0.789,0.2945
1,90,0.733,0.2923
1,110,0.606,0.2936
1,120,0.559,0.2896
1,130,0.512,0.3035
1,132.5,0.507,0.292
1,135,0.499,0.2922
1,140,0.479,0.2953
1,160,0.431,0.2968
1,170,0.406,0.3042
1,185,0.385,0.2998
1,190,0.377,0.3005
1,195,0.369,0.2954
1,200,0.362,0.2931
1,212.5,0.334,0.2916
1,225,0.332,0.2917
1,237.5,0.31,0.2947
1,250,0.299,0.3056
