Zeff,E(MeV/n),LET (keV/um),Alpha (Gy-1),Uncertainty(Gy-1)
0.9,0.1,80.351,3.525,0.00191721
0.9,0.115,78.092,3.5628,0.00202341
0.9,0.125,76.343,3.5889,0.0020255
0.9,0.135,74.519,3.6112,0.00203348
0.9,0.15,71.714,3.6396,0.00204682
0.9,0.175,67.185,3.6383,0.00210131
0.9,0.2,63.069,3.5919,0.00203865
0.9,0.225,59.349,3.5025,0.00202076
0.9,0.25,56.044,3.3878,0.00192469
0.9,0.275,53.079,3.2428,0.00190017
0.9,0.3,50.419,3.0948,0.00191215
0.9,0.325,48.037,2.9401,0.00181414
0.9,0.35,45.923,2.7926,0.00171772
0.9,0.375,43.987,2.6459,0.00166211
0.9,0.4,42.219,2.5124,0.00157508
0.9,0.425,40.621,2.3629,0.00154573
0.9,0.45,39.161,2.2419,0.00144815
0.9,0.475,37.784,2.1215,0.00134897
0.9,0.525,35.369,1.9025,0.00131443
0.9,0.55,34.247,1.8049,0.00119944
0.9,0.56,33.866,1.7681,0.0012808
0.9,0.575,33.281,1.7189,0.00116876
0.9,0.58,33.08,1.708,0.00119406
0.9,0.6,32.339,1.6448,0.00117376
0.9,0.625,31.423,1.5637,0.00108048
0.9,0.65,30.642,1.5006,0.00110034
0.9,0.675,29.869,1.4273,0.00104826
0.9,0.7,29.124,1.3735,0.00101106
0.9,0.725,28.431,1.3072,0.000992492
0.9,0.75,27.742,1.2781,0.000982028
0.9,0.775,27.167,1.2212,0.000926137
0.9,0.8,26.552,1.1766,0.0009013
0.9,0.825,26.022,1.1453,0.00087393
0.9,0.85,25.463,1.1056,0.000876123
0.9,0.875,25,1.0753,0.000844274
0.9,0.9,24.488,1.0413,0.000832774
0.9,0.925,24.021,1.0114,0.00084571
0.9,0.975,23.123,0.9553,0.000784496
0.9,1,22.739,0.9356,0.000778582
1,1.125,25.836,1.027,0.000843323
1,1.25,23.972,0.9271,0.000786022
1,1.3125,23.125,0.8719,0.000752945
1,1.375,22.359,0.8366,0.000734632
1,1.4375,21.653,0.8076,0.000721519
1,1.5,21.008,0.7777,0.000738953
1,1.5625,20.369,0.7471,0.000728887
1,1.625,19.803,0.722,0.000694737
1,1.6875,19.255,0.7047,0.000688348
1,1.75,18.749,0.6874,0.000687157
1,1.8,18.373,0.6716,0.000659827
1,1.875,17.845,0.6509,0.000670891
1,1.9,17.65,0.6476,0.000667918
1,2,17.008,0.6225,0.000647343
1,2.125,16.246,0.5951,0.000653258
1,2.25,15.604,0.5735,0.000633302
1,2.375,14.971,0.5578,0.000657078
1,2.5,14.448,0.5469,0.000636622
1,2.75,13.389,0.5142,0.000616051
1,3,12.557,0.4944,0.000668351
1,3.25,11.787,0.4841,0.000656296
1,3.875,10.31,0.4514,0.00070746
1,4.25,9.604,0.4402,0.000717317
1,4.625,9.005,0.424,0.000740166
1,4.8,8.722,0.4215,0.000771727
1,5,8.45,0.421,0.000767945
1,5.5,7.848,0.4071,0.000802442
1,6,7.31,0.4007,0.00082493
1,7,6.477,0.3818,0.0008907
1,7.5,6.122,0.3845,0.000968332
1,8,5.795,0.378,0.000700355
1,9,5.274,0.3754,0.000770068
1,9.5,5.077,0.3723,0.000801946
1,10,4.874,0.3704,0.000884914
1,12,4.206,0.3655,0.000982598
1,13,3.926,0.3649,0.00100882
1,14,3.707,0.3545,0.0010714
1,15,3.503,0.357,0.00114058
1,16,3.322,0.3643,0.00119285
1,17,3.16,0.358,0.00125985
1,18.5,2.951,0.3541,0.00129924
1,20,2.758,0.3555,0.00140533
1,22.5,2.515,0.3496,0.00152137
1,25,2.29,0.3458,0.00159545
1,30,1.983,0.3452,0.00188775
1,35,1.77,0.335,0.00222129
1,37.5,1.67,0.3395,0.00227503
1,40,1.582,0.3459,0.00234451
1,42.5,1.51,0.3318,0.00260029
1,45,1.419,0.3434,0.00274028
1,50,1.329,0.3458,0.0029418
1,60,1.123,0.3415,0.00318004
1,65,1.069,0.3386,0.00346438
1,70,1.037,0.3295,0.00378233
1,72.5,0.994,0.3357,0.00389608
1,75,0.943,0.345,0.00386072
1,80,0.864,0.339,0.00404381
1,85,0.789,0.3464,0.00411998
1,90,0.733,0.3479,0.00420593
1,100,0.666,0.3381,0.00238316
1,110,0.606,0.3402,0.0025112
1,120,0.559,0.3315,0.00254715
1,130,0.512,0.3517,0.00263967
1,132.5,0.507,0.3354,0.00277643
1,135,0.499,0.3345,0.0028395
1,140,0.479,0.3354,0.00269457
1,150,0.45,0.3377,0.00278062
1,160,0.431,0.3402,0.00320471
1,170,0.406,0.3524,0.00309221
1,175,0.398,0.3419,0.00310771
1,180,0.392,0.328,0.00324127
1,185,0.385,0.3439,0.00345074
1,190,0.377,0.3432,0.00358039
1,195,0.369,0.338,0.00359495
1,200,0.362,0.3329,0.00352975
1,212.5,0.334,0.3323,0.00291978
1,225,0.332,0.3296,0.00400857
1,237.5,0.31,0.3377,0.00343081
1,250,0.299,0.3497,0.00377528
