Zeff,E(MeV/n),LET (keV/um),Alpha (Gy-1)
1.7,0.1,224.414,0.9008
1.7,0.115,228.181,0.8991
1.7,0.125,228.417,0.9048
1.7,0.135,227.308,0.9155
1.8,0.175,238.364,0.9066
1.8,0.2,229.124,0.9488
1.9,0.25,231.249,0.9704
1.9,0.275,221.523,1.0144
1.9,0.3,212.425,1.058
1.9,0.325,203.894,1.1017
1.9,0.35,195.914,1.1446
1.9,0.375,188.471,1.1871
1.9,0.4,181.646,1.2289
1.9,0.425,175.319,1.2685
1.9,0.45,169.432,1.3064
1.9,0.475,163.908,1.3447
1.9,0.5,158.804,1.3823
1.9,0.525,154.079,1.4179
1.9,0.55,149.6,1.4517
1.9,0.56,147.877,1.4635
1.9,0.575,145.413,1.4847
1.9,0.58,144.641,1.4909
2,0.6,156.127,1.4187
2,0.625,152.13,1.4472
2,0.65,148.318,1.4757
2,0.675,144.675,1.501
2,0.7,141.274,1.5266
2,0.725,138.003,1.5516
2,0.75,134.891,1.5746
2,0.775,132.014,1.5983
2,0.8,129.254,1.6162
2,0.825,126.588,1.6357
2,0.85,124.076,1.6542
2,0.875,121.655,1.672
2,0.9,119.346,1.6858
2,0.925,117.13,1.7001
2,0.95,115.051,1.7127
2,0.975,113.027,1.7244
2,1,111.072,1.732
2,1.125,102.297,1.767
2,1.25,95.067,1.7695
2,1.312,91.838,1.7623
2,1.375,88.847,1.7535
2,1.438,86.144,1.7345
2,1.5,83.546,1.719
2,1.562,81.106,1.6951
2,1.625,78.901,1.6718
2,1.688,76.732,1.6446
2,1.75,74.651,1.6183
2,1.8,73.269,1.5987
2,1.9,70.374,1.5504
2,2,67.788,1.5034
2,2.25,62.149,1.3823
2,2.375,59.66,1.3298
2,2.5,57.474,1.2759
2,3,50.022,1.0914
2,3.25,47.116,1.0189
2,3.75,42.201,0.8966
2,3.875,41.155,0.8685
2,4.25,38.345,0.8022
2,4.625,35.871,0.7419
2,4.8,34.818,0.7226
2,5,33.728,0.6962
2,5.5,31.291,0.65
2,6,29.184,0.6092
2,7,25.822,0.5488
2,7.5,24.429,0.5217
2,8,23.21,0.5042
2,9,21.167,0.4714
2,9.5,20.241,0.4619
2,10,19.388,0.449
2,12,16.791,0.417
2,13,15.727,0.4018
2,14,14.79,0.3899
2,14.5,14.37,0.3876
2,15,14.095,0.3821
2,16,13.327,0.3768
2,17,12.622,0.3683
2,18.5,11.785,0.3573
2,20,11.087,0.3536
2,22.5,10.05,0.3446
2,25,9.2,0.3385
2,30,7.941,0.3273
2,35,7.071,0.3191
2,37.5,6.672,0.3176
2,40,6.323,0.3159
2,42.5,5.985,0.3141
2,45,5.698,0.3077
2,50,5.251,0.3095
2,60,4.522,0.3034
2,65,4.255,0.3001
2,70,4.173,0.2991
2,72.5,3.987,0.296
2,75,3.762,0.2996
2,80,3.403,0.304
2,85,3.207,0.303
2,90,2.979,0.2987
2,100,2.682,0.3024
2,110,2.407,0.3006
2,120,2.221,0.3018
2,130,2.06,0.3023
2,132.5,2.038,0.3005
2,135,2.013,0.3035
2,140,1.929,0.3022
2,160,1.719,0.3017
2,170,1.641,0.3016
2,175,1.57,0.3023
2,180,1.566,0.3014
2,185,1.534,0.3021
2,190,1.499,0.3001
2,195,1.445,0.3045
2,200,1.452,0.301
2,212.5,1.369,0.3031
2,225,1.292,0.3007
2,237.5,1.266,0.3055
2,250,1.221,0.3003
2,275,1.128,0.3041
2,300,1.063,0.3037
2,400,0.882,0.3007
2,500,0.785,0.2992
2,600,0.714,0.3027
2,700,0.674,0.2997
2,800,0.632,0.2987
2,1000,0.587,0.2999
