Zeff,E(MeV/n),LET (keV/um),Alpha (Gy-1),Beta
1.7,0.1,224.414,1.4648,
1.7,0.115,228.181,1.45808,
1.7,0.125,228.417,1.46533,
1.7,0.135,227.308,1.48131,
1.8,0.15,246.038,1.40384,
1.8,0.175,238.364,1.46176,
1.8,0.2,231.249,1.52903,
1.8,0.225,231.085,1.54966,
1.9,0.25,225.124,1.55482,
1.9,0.275,219.418,1.62378,0.0186978
1.9,0.3,212.425,1.69296,0.0422706
1.9,0.325,203.894,1.75868,0.0685532
1.9,0.35,195.914,1.82571,0.0423817
1.9,0.375,188.471,1.89151,0.0624645
1.9,0.4,181.646,1.95804,0.0560868
1.9,0.425,175.319,2.01788,0.0827488
1.9,0.45,169.432,2.07856,0.09662
1.9,0.475,161.225,2.13803,0.0417015
1.9,0.5,158.804,2.19514,0.0406013
1.9,0.525,154.079,2.24906,0.0406869
1.9,0.55,153.972,2.30165,0.0427398
1.9,0.56,150.986,2.31162,0.0509513
1.9,0.575,149.6,2.35233,0.0360138
1.9,0.58,147.648,2.3359,0.0560736
2,0.6,145.413,2.24179,0.0719733
2,0.625,144.945,2.27969,0.0589844
2,0.65,144.675,2.32832,0.0283324
2,0.675,142.871,2.36932,0.0610067
2,0.7,141.274,2.40823,0.0365905
2,0.725,138.003,2.44624,0.048764
2,0.75,134.956,2.47837,0.0571975
2,0.775,132.014,2.51364,0.0582657
2,0.8,129.254,2.54292,0.0107764
2,0.825,126.588,2.57208,0.0803496
2,0.85,124.244,2.59087,0.0209884
2,0.875,121.655,2.61384,0.0847122
2,0.9,119.346,2.64201,0.0519947
2,0.925,117.13,2.65902,0.0609218
2,0.95,115.051,2.67573,0.0639041
2,0.975,113.027,2.68649,0.0825088
2,1,111.072,2.69945,0.0602317
2,1.125,102.297,2.72759,0.0399342
2,1.25,95.226,2.68623,0.0100122
2,1.3125,91.8382,2.67842,0.0900614
2,1.375,88.8465,2.72147,0.0460438
2,1.4375,86.1443,2.6023,0.0649546
2,1.5,83.5456,2.55898,0.0592119
2,1.5625,81.1063,2.51015,0.0437095
2,1.625,78.9005,2.51876,0.0511202
2,1.6875,76.7315,2.40387,0.0481748
2,1.75,74.6509,2.349,0.0135152
2,1.8,73.2599,2.30672,0.0251847
2,1.875,70.8213,2.28272,0.0820981
2,1.9,70.1297,2.23023,0.0796317
2,2,67.7876,2.12334,0.0442119
2,2.125,64.8039,2.05126,0.0467401
2,2.25,62.1489,1.91357,0.0412346
2,2.375,59.6598,1.82345,0.0968624
2,2.5,57.4744,1.73184,0.0421089
2,2.75,53.5082,1.562,0.0369635
2,3,50.0223,1.43353,0.0728045
2,3.25,47.1158,1.31698,0.0653356
2,3.5,44.5051,1.21521,0.0416488
2,3.75,42.2013,1.13259,0.0705918
2,3.875,41.155,1.09196,0.0454924
2,4.25,38.3446,0.99491,0.0449153
2,4.625,35.8713,0.913462,0.0409911
2,4.8,34.6958,0.894276,0.0515363
2,5,33.728,0.845962,0.0562185
2,5.5,31.0496,0.788932,0.0515848
2,6,29.1845,0.729322,0.074134
2,7,25.8224,0.65191,0.0399684
2,7.5,24.4289,0.618191,0.0545597
2,8,23.2099,0.594936,0.0548308
2,9,21.1666,0.552776,0.0589305
2,9.5,20.174,0.537816,0.0584992
2,10,19.3884,0.521669,0.0546201
2,12,16.8519,0.492294,0.0590312
2,13,15.7271,0.471319,0.0556349
2,14,14.7901,0.457,0.0270089
2,14.5,14.3698,0.454425,0.0646037
2,15,14.0948,0.447441,0.0631951
2,16,13.3271,0.442108,0.0600745
2,17,12.5686,0.427663,0.0540569
2,18.5,11.7846,0.416323,0.0647896
2,20,11.0865,0.408267,0.0639881
2,22.5,10.05,0.405099,0.0585427
2,25,9.19957,0.390136,0.054866
2,30,7.9408,0.377674,0.0629227
2,35,7.07067,0.375329,0.0635374
2,37.5,6.67242,0.376945,0.0675533
2,40,6.32343,0.370289,0.0661453
2,42.5,5.98521,0.372768,0.0652145
2,45,5.69844,0.364365,0.0698207
2,50,5.25082,0.364275,0.068874
2,60,4.52231,0.355372,0.0662104
2,65,4.25507,0.355306,0.0683548
2,70,4.17263,0.357653,0.0703231
2,72.5,3.9868,0.351378,0.0681571
2,75,3.76236,0.354749,0.0747071
2,80,3.40306,0.356145,0.0760348
2,85,3.21551,0.351307,0.0778917
2,87.5,3.06806,0.359332,0.0813151
2,90,2.97871,0.353549,0.0843505
2,100,2.6825,0.352662,0.0820511
2,110,2.40709,0.350016,0.087815
2,120,2.22114,0.352662,0.0900896
2,130,2.05967,0.349242,0.0857066
2,132.5,2.03827,0.350188,0.0869735
2,135,2.01275,0.351315,0.0897816
2,140,1.92865,0.351914,0.0924707
2,160,1.71903,0.352059,0.0993062
2,165,1.68705,0.348055,0.0977779
2,170,1.64099,0.349539,0.101791
2,175,1.57014,0.349366,0.0996269
2,180,1.56622,0.350419,0.103381
2,185,1.53427,0.346769,0.108882
2,190,1.51012,0.342395,0.104125
2,195,1.44541,0.349724,0.097993
2,200,1.452,0.346889,0.104505
2,212.5,1.36918,0.348807,0.107044
2,225,1.29212,0.347231,0.0732676
2,237.5,1.26566,0.353986,0.100912
2,250,1.22071,0.34613,0.116881
2,275,1.12799,0.34762,0.116918
2,300,0.961215,0.347978,0.0997025
2,400,0.882211,0.344634,0.110258
2,500,0.785458,0.34295,0.112309
2,600,0.714138,0.345637,0.107218
2,700,0.674077,0.342868,0.101295
2,800,0.632037,0.341284,0.102051
2,900,0.60767,0.3453,0.109641
2,1000,0.587197,0.340597,0.10687
