E(MeV/n),Alpha (Gy-1),Z,LET (keV/um)
0.225,0.9008,3,178.20000000000007
0.25875,0.8991,3,195.0818399969018
0.28125,0.9048,3,205.83449547811685
0.30375,0.9155,3,216.18620510536115
0.39375,0.9066,3,253.698397572233
0.45,0.9488,3,274.09999999999997
0.5625,0.9704,3,308.1057428445879
0.61875,1.0144,3,322.21037243555236
0.675,1.058,3,334.60576060596884
0.73125,1.1017,3,345.2008628044467
0.7875,1.1446,3,354.739313952769
0.84375,1.1871,3,362.79640053662126
0.9,1.2289,3,370.2000000000001
0.95625,1.2685,3,376.1489557881267
1.0125,1.3064,3,381.6332952577261
1.06875,1.3447,3,386.1633379645332
1.125,1.3823,3,390.11531666172584
1.18125,1.4179,3,393.42554773153336
1.2375,1.4517,3,396.14758074333486
1.26,1.4635,3,397.11552264139624
1.29375,1.4847,3,398.53978061892366
1.305,1.4909,3,398.94455877020175
1.35,1.4187,3,400.22348386118483
1.40625,1.4472,3,401.70953948971714
1.4625,1.4757,3,402.67532923349614
1.51875,1.501,3,403.43464325259225
1.575,1.5266,3,403.82907762761636
1.63125,1.5516,3,403.93617700726423
1.6875,1.5746,3,403.82434160379006
1.74375,1.5983,3,403.3996579573763
1.8,1.6162,3,402.89999999999986
1.85625,1.6357,3,401.84523928738366
1.9125,1.6542,3,400.82460764040223
1.96875,1.672,3,399.83604441557515
2.025,1.6858,3,398.566573577228
2.08125,1.7001,3,396.9536950634968
2.1375,1.7127,3,395.3901000859624
2.19375,1.7244,3,393.8730438642555
2.25,1.732,3,392.40000000000015
2.53125,1.767,3,382.42160255177527
2.8125,1.7695,3,371.31215506097215
2.952,1.7623,3,365.58766641142824
3.09375,1.7535,3,359.6269385683932
3.2355,1.7345,3,353.7784973455455
3.375,1.719,3,347.8648458437568
3.5145,1.6951,3,342.180062903778
3.65625,1.6718,3,336.3072808979469
3.798,1.6446,3,330.62524137015174
3.9375,1.6183,3,325.0882258460625
4.05,1.5987,3,320.6746488787727
4.275,1.5504,3,312.0066276190524
4.5,1.5034,3,304.0000000000001
5.0625,1.3823,3,284.9443358472429
5.34375,1.3298,3,276.16748715864446
5.625,1.2759,3,267.96659125207617
6.75,1.0914,3,239.43085312652443
7.3125,1.0189,3,227.43436349458855
8.4375,0.8966,3,207.01895850288403
8.71875,0.8685,3,202.5422759259319
9.5625,0.8022,3,190.41602004244584
