Charge	Energy(MeV/n)	Chemicalyield	Uncertainty(+-)
1.7	0.1	4.71511	6.0E-04
1.8	0.175	4.9727	4.7E-04
1.8	0.2	5.08263	4.7E-04
1.9	0.25	5.19269	4.0E-04
1.9	0.3	5.35119	1.1E-04
1.9	0.4	5.5908	6.3E-04
1.9	0.45	5.68083	2.6E-05
1.9	0.475	5.71907	2.6E-04
1.9	0.5	5.75578	1.1E-04
1.9	0.6	5.87591	5.4E-04
2.0	0.7	5.91362	4.2E-04
2.0	0.8	5.98675	7.3E-04
2.0	0.85	6.01924	5.9E-05
2.0	0.9	6.04568	3.0E-04
2.0	1.0	6.09476	7.2E-04
2.0	1.5	6.24225	7.3E-05
2.0	2.0	6.31808	2.2E-04
2.0	2.5	6.36289	8.3E-04
2.0	3.0	6.39356	1.5E-04
2.0	5.0	6.45321	4.5E-04
2.0	6.0	6.46772	1.2E-03
2.0	7.0	6.47664	6.7E-04
2.0	8.0	6.48522	7.2E-04
2.0	9.0	6.48976	3.6E-04
2.0	10.0	6.49363	9.1E-04
2.0	12.0	6.50051	3.9E-04
2.0	13.0	6.4806	2.6E-03
2.0	14.0	6.50363	7.1E-04
2.0	15.0	6.48295	3.6E-03
2.0	16.0	6.5051	4.0E-04
2.0	17.0	6.50965	6.5E-04
2.0	20.0	6.51139	1.8E-03
2.0	25.0	6.49164	3.4E-03
2.0	30.0	6.51744	1.4E-04
2.0	40.0	6.49123	3.2E-03
2.0	50.0	6.51916	2.0E-04
2.0	60.0	6.41617	3.0E-04
2.0	70.0	6.49089	3.2E-03
2.0	80.0	6.50244	3.8E-03
2.0	90.0	6.5352	6.5E-04
2.0	100.0	6.53828	2.6E-05
2.0	110.0	6.51311	4.5E-03
2.0	120.0	6.51523	4.5E-03
2.0	130.0	6.51656	4.5E-03
2.0	140.0	6.5201	4.6E-03
2.0	150.0	6.55538	1.1E-03
2.0	160.0	6.52099	4.7E-03
2.0	170.0	6.55763	1.2E-03
2.0	175.0	6.5607	6.9E-04
2.0	180.0	6.52351	4.9E-03
2.0	185.0	6.55912	6.3E-04
2.0	190.0	6.56085	1.4E-04
2.0	195.0	6.5639	2.0E-04
2.0	200.0	6.52868	5.0E-03
2.0	225.0	6.56549	1.3E-03
2.0	275.0	6.56912	1.0E-03
2.0	300.0	6.53513	5.5E-03
2.0	350.0	6.57624	1.5E-03
2.0	400.0	6.56713	3.1E-04
2.0	500.0	6.57125	2.6E-03
2.0	600.0	6.57403	3.9E-04
2.0	700.0	6.57385	4.9E-04
2.0	800.0	6.57336	2.5E-04
2.0	900.0	6.57444	3.1E-03
2.0	1000.0	6.57801	1.4E-03
