Charge,Energy (MeV/n),Chemical yield,Uncertainty (+-)
1,0.1,5.51252,0.00012
1,0.15,6.47695,0.00026
1,0.2,5.91841,0.00054
1,0.3,6.1296,0.00082
1,0.35,6.47676,0.0001
1,0.4,6.24627,0.00062
1,0.45,6.47737,0.00013
1,0.5,6.31666,0.000044
1,0.55,6.34137,0.00014
1,0.6,6.36274,0.00048
1,0.65,6.47711,0.00036
1,0.7,6.39351,0.00014
1,0.75,6.47719,0.00051
1,0.8,6.41814,0.00054
1,0.85,6.47731,0.00017
1,0.9,6.43515,0.00023
1,0.95,6.44155,0.00026
1,1,6.44826,0.00026
1,1.25,6.47118,0.0011
1,1.375,6.48055,0.00048
1,1.4375,6.48395,0.00021
1,1.5,6.46833,0.0021
1,1.5625,6.48849,0.00032
1,1.625,6.49237,0.00057
1,1.6875,6.49439,0.00063
1,1.75,6.47692,0.0029
1,1.875,6.50031,0.000026
1,2,6.32518,0.00072
1,2.125,6.50588,0.00021
1,2.25,6.48503,0.0029
1,2.375,6.51042,0.00097
1,2.5,6.5123,0.000046
1,2.75,6.49379,0.0031
1,3,6.4924,0.0036
1,3.25,6.51998,0.00096
1,3.5,6.49507,0.0036
1,3.875,6.52359,0.00077
1,4.25,6.52527,0.000067
1,4.625,6.52699,0.00033
1,5,6.32253,0.00024
1,6,6.5014,0.0034
1,7,6.50141,0.0033
1,7.5,6.53008,0.00032
1,8,6.50148,0.004
1,9,6.53123,0.000031
1,10,6.32792,0.00016
1,13,6.49927,0.0039
1,14,6.52924,0.00008
1,14.5,6.53034,0.001
1,15,6.53066,0.000072
1,16,6.52912,0.00087
1,17,6.53052,0.000016
1,18.5,6.52994,0.00078
1,20,6.50289,0.0036
1,22.5,6.5268,0.00047
1,25,6.50307,0.0037
1,30,6.32714,0.00021
1,35,6.52817,0.0021
1,37.5,6.53137,0.00012
1,40,6.49863,0.0035
1,42.5,6.52498,0.00065
1,45,6.5253,0.0000008
1,50,6.49761,0.0039
1,60,6.4997,0.0038
1,65,6.52291,0.00098
1,72.5,6.52109,0.000066
1,75,6.52514,0.0014
1,80,6.53416,0.00039
1,85,6.5371,0.0011
1,90,6.5121,0.0037
1,100,6.32568,0.00031
1,110,6.54479,0.00088
1,120,6.51551,0.0042
1,130,6.52077,0.0045
1,132.5,6.55168,0.0014
1,135,6.55009,0.0023
1,140,6.52221,0.0049
1,150,6.5229,0.0048
1,160,6.52405,0.0051
1,170,6.56197,0.00025
1,175,6.55908,0.00089
1,180,6.52788,0.0045
1,185,6.55946,0.00015
1,190,6.561,0.0035
1,195,6.56137,0.0017
1,200,6.56323,0.0014
1,212.5,6.5654,0.00098
1,225,6.56673,0.00062
1,237.5,6.56592,0.00086
1,275,6.56913,0.000095
1,300,6.57114,0.00085
1,400,6.52301,0.005
1,500,6.56191,0.00013
1,600,6.56127,0.00018
1,700,6.56378,0.00077
1,800,6.56413,0.00079
1,900,6.56327,0.00056
1,1000,6.56639,0.00075
